,Recency,Frequency,Monetary,Time,Diversity,R_score,F_score,M_score,T_score,D_score,RFMTD_Score,Cluster,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,R_Cluster,F_Cluster,M_Cluster,T_Cluster,D_Cluster,OverallScore,Segment
65,40,5,2178.67,213,78,3,4,5,"(167.0, 277.0]",4,"345(167.0, 277.0]4",3,1,3,0,3,0,0,2,1,6,Mid-Value
66,23,8,3075.04,218,48,4,5,5,"(167.0, 277.0]",3,"455(167.0, 277.0]3",3,1,3,0,3,1,0,2,0,6,Mid-Value
67,3,5,1662.3,37,17,5,4,4,"(29.0, 167.0]",2,"544(29.0, 167.0]2",0,2,2,0,3,0,0,0,0,3,Low-Value
68,5,5,2483.63,363,37,5,4,5,"(277.0, 373.0]",3,"545(277.0, 373.0]3",1,3,1,0,3,0,0,3,0,6,Mid-Value
69,149,2,363.65,223,19,2,2,2,"(167.0, 277.0]",2,"222(167.0, 277.0]2",3,1,3,0,1,0,0,2,0,3,Low-Value
70,139,4,3006.15,181,53,2,4,5,"(167.0, 277.0]",4,"245(167.0, 277.0]4",3,1,3,0,1,0,0,2,0,3,Low-Value
71,128,1,594.0,0,2,2,1,3,"(-0.001, 29.0]",1,"213(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
72,8,6,1335.19,161,34,5,4,4,"(29.0, 167.0]",3,"544(29.0, 167.0]3",3,1,3,0,3,1,0,1,0,5,Low-Value
73,17,1,164.23,0,27,4,1,1,"(-0.001, 29.0]",3,"411(-0.001, 29.0]3",0,2,2,0,3,0,0,0,0,3,Low-Value
74,9,37,16587.09,364,233,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,2,1,3,2,11,High-Value
75,161,1,405.38,0,28,2,1,2,"(-0.001, 29.0]",3,"212(-0.001, 29.0]3",2,0,0,0,1,0,0,0,0,1,Low-Value
76,64,1,176.97,0,28,3,1,1,"(-0.001, 29.0]",3,"311(-0.001, 29.0]3",0,2,2,0,2,0,0,0,0,2,Low-Value
77,88,4,933.7,239,22,2,4,4,"(167.0, 277.0]",2,"244(167.0, 277.0]2",3,1,1,0,2,0,0,2,0,4,Low-Value
78,5,2,694.05,70,42,5,2,3,"(29.0, 167.0]",3,"523(29.0, 167.0]3",0,2,2,0,3,0,0,1,0,4,Low-Value
79,35,5,2062.7000000000003,323,59,3,4,5,"(277.0, 373.0]",4,"345(277.0, 373.0]4",1,3,1,0,3,0,0,3,0,6,Mid-Value
80,312,1,117.85,0,8,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
81,78,2,415.8,93,20,2,2,2,"(29.0, 167.0]",2,"222(29.0, 167.0]2",0,2,2,0,2,0,0,1,0,3,Low-Value
82,22,15,42055.96,336,28,4,5,5,"(277.0, 373.0]",3,"455(277.0, 373.0]3",1,3,1,0,3,1,2,3,0,9,High-Value
83,24,3,607.53,259,102,4,3,3,"(167.0, 277.0]",5,"433(167.0, 277.0]5",1,3,1,0,3,0,0,2,1,6,Mid-Value
84,2,7,2160.7,317,80,5,5,5,"(277.0, 373.0]",4,"555(277.0, 373.0]4",1,3,1,0,3,1,0,3,1,8,High-Value
85,17,4,1063.9,61,56,4,4,4,"(29.0, 167.0]",4,"444(29.0, 167.0]4",0,2,2,0,3,0,0,0,0,3,Low-Value
86,15,4,1504.27,252,81,4,4,4,"(167.0, 277.0]",4,"444(167.0, 277.0]4",1,3,1,0,3,0,0,2,1,6,Mid-Value
87,26,1,114.14,0,9,4,1,1,"(-0.001, 29.0]",1,"411(-0.001, 29.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
88,64,8,11581.8,270,21,3,5,5,"(167.0, 277.0]",2,"355(167.0, 277.0]2",1,3,1,0,2,1,1,2,0,6,Mid-Value
89,55,2,913.54,33,87,3,2,4,"(29.0, 167.0]",4,"324(29.0, 167.0]4",0,2,2,0,2,0,0,0,1,3,Low-Value
90,131,3,683.9,234,68,2,3,3,"(167.0, 277.0]",4,"233(167.0, 277.0]4",3,1,3,0,2,0,0,2,0,4,Low-Value
91,36,2,604.51,319,29,3,2,3,"(277.0, 373.0]",3,"323(277.0, 373.0]3",1,3,1,0,3,0,0,3,0,6,Mid-Value
92,288,1,462.95,0,23,1,1,2,"(-0.001, 29.0]",2,"112(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
93,144,6,1603.99,229,83,2,4,4,"(167.0, 277.0]",4,"244(167.0, 277.0]4",3,1,3,0,1,1,0,2,1,5,Low-Value
94,16,7,2064.95,248,82,4,5,5,"(167.0, 277.0]",4,"455(167.0, 277.0]4",1,3,1,0,3,1,0,2,1,7,Mid-Value
95,31,8,4167.22,221,166,4,5,5,"(167.0, 277.0]",5,"455(167.0, 277.0]5",3,1,3,0,3,1,0,2,1,7,Mid-Value
96,2,3,1843.0,21,13,5,3,4,"(-0.001, 29.0]",2,"534(-0.001, 29.0]2",0,2,2,0,3,0,0,0,0,3,Low-Value
97,9,6,1064.07,322,53,5,5,4,"(277.0, 373.0]",4,"554(277.0, 373.0]4",1,3,1,0,3,1,0,3,0,7,Mid-Value
98,6,4,1387.79,72,64,5,4,4,"(29.0, 167.0]",4,"544(29.0, 167.0]4",0,2,2,0,3,0,0,1,0,4,Low-Value
99,10,1,329.85,0,17,5,1,2,"(-0.001, 29.0]",2,"512(-0.001, 29.0]2",0,2,2,0,3,0,0,0,0,3,Low-Value
100,1,11,4757.16,266,81,5,5,5,"(167.0, 277.0]",4,"555(167.0, 277.0]4",1,3,1,0,3,1,0,2,1,7,Mid-Value
101,306,1,108.07,0,19,1,1,1,"(-0.001, 29.0]",2,"111(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
102,10,8,4017.54,329,208,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,0,3,2,9,High-Value
103,7,2,266.39,106,15,5,2,2,"(29.0, 167.0]",2,"522(29.0, 167.0]2",3,2,2,0,3,0,0,1,0,4,Low-Value
104,8,8,1856.63,357,75,5,5,4,"(277.0, 373.0]",4,"554(277.0, 373.0]4",1,3,1,0,3,1,0,3,1,8,High-Value
105,89,1,771.91,0,108,2,1,3,"(-0.001, 29.0]",5,"213(-0.001, 29.0]5",0,2,2,0,2,0,0,0,1,3,Low-Value
106,10,1,160.18,0,10,5,1,1,"(-0.001, 29.0]",1,"511(-0.001, 29.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
107,358,2,1660.9,13,19,1,2,4,"(-0.001, 29.0]",2,"124(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
108,112,1,135.95,0,5,2,1,1,"(-0.001, 29.0]",1,"211(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
109,7,4,452.24,315,116,5,4,2,"(277.0, 373.0]",5,"542(277.0, 373.0]5",1,3,1,0,3,0,0,3,1,7,Mid-Value
110,4,86,11189.91,368,94,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,3,1,3,1,11,High-Value
111,198,1,144.8,0,8,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
112,212,1,738.6,0,22,1,1,3,"(-0.001, 29.0]",2,"113(-0.001, 29.0]2",2,0,0,0,1,0,0,0,0,1,Low-Value
113,156,1,39.239999999999995,0,9,2,1,1,"(-0.001, 29.0]",1,"211(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
114,158,9,7374.900000000001,200,6,2,5,5,"(167.0, 277.0]",1,"255(167.0, 277.0]1",3,1,3,0,1,1,1,2,0,5,Low-Value
115,30,2,372.21999999999997,103,12,4,2,2,"(29.0, 167.0]",1,"422(29.0, 167.0]1",0,2,2,0,3,0,0,1,0,4,Low-Value
116,243,1,390.54,0,28,1,1,2,"(-0.001, 29.0]",3,"112(-0.001, 29.0]3",2,0,0,0,1,0,0,0,0,1,Low-Value
117,19,1,97.5,0,4,4,1,1,"(-0.001, 29.0]",1,"411(-0.001, 29.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
118,1,2,1239.38,27,73,5,2,4,"(-0.001, 29.0]",4,"524(-0.001, 29.0]4",0,2,2,0,3,0,0,0,1,4,Low-Value
119,74,2,558.7,124,27,2,2,3,"(29.0, 167.0]",3,"223(29.0, 167.0]3",3,1,3,0,2,0,0,1,0,3,Low-Value
120,292,1,535.32,0,75,1,1,3,"(-0.001, 29.0]",4,"113(-0.001, 29.0]4",2,0,0,0,0,0,0,0,1,1,Low-Value
121,3,15,6924.110000000001,361,41,5,5,5,"(277.0, 373.0]",3,"555(277.0, 373.0]3",1,3,1,0,3,1,0,3,0,7,Mid-Value
122,31,3,409.5,278,8,4,3,2,"(277.0, 373.0]",1,"432(277.0, 373.0]1",1,3,1,0,3,0,0,2,0,5,Low-Value
123,23,2,503.76,89,31,4,2,3,"(29.0, 167.0]",3,"423(29.0, 167.0]3",0,2,2,0,3,0,0,1,0,4,Low-Value
124,23,4,414.76,275,26,4,4,2,"(167.0, 277.0]",2,"442(167.0, 277.0]2",1,3,1,0,3,0,0,2,0,5,Low-Value
125,4,3,974.4200000000001,264,52,5,3,4,"(167.0, 277.0]",4,"534(167.0, 277.0]4",1,3,1,0,3,0,0,2,0,5,Low-Value
126,85,1,211.32,0,3,2,1,1,"(-0.001, 29.0]",1,"211(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
127,22,4,1226.89,294,45,4,4,4,"(277.0, 373.0]",3,"444(277.0, 373.0]3",1,3,1,0,3,0,0,3,0,6,Mid-Value
128,196,3,455.88,49,25,1,3,2,"(29.0, 167.0]",2,"132(29.0, 167.0]2",2,0,0,0,1,0,0,0,0,1,Low-Value
129,107,3,534.85,258,30,2,3,3,"(167.0, 277.0]",3,"233(167.0, 277.0]3",3,1,1,0,2,0,0,2,0,4,Low-Value
130,4,13,9818.82,322,166,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,1,3,1,9,High-Value
131,318,1,120.94999999999999,0,7,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
132,106,3,149.05,109,4,2,3,1,"(29.0, 167.0]",1,"231(29.0, 167.0]1",3,1,3,0,2,0,0,1,0,3,Low-Value
133,12,18,5655.91,346,277,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,0,3,2,9,High-Value
134,174,2,513.7,72,21,2,2,3,"(29.0, 167.0]",2,"223(29.0, 167.0]2",2,0,0,0,1,0,0,1,0,2,Low-Value
135,56,1,81.57,0,4,3,1,1,"(-0.001, 29.0]",1,"311(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
136,323,1,229.46999999999997,0,14,1,1,1,"(-0.001, 29.0]",2,"111(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
137,372,1,50.550000000000004,0,3,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
138,9,8,1661.8400000000001,285,67,5,5,4,"(277.0, 373.0]",4,"554(277.0, 373.0]4",1,3,1,0,3,1,0,3,0,7,Mid-Value
139,1,13,4810.9400000000005,370,155,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,0,3,1,8,High-Value
140,11,10,3466.2799999999997,270,67,5,5,5,"(167.0, 277.0]",4,"555(167.0, 277.0]4",1,3,1,0,3,1,0,2,0,6,Mid-Value
141,53,5,3346.28,195,156,3,4,5,"(167.0, 277.0]",5,"345(167.0, 277.0]5",3,1,3,0,2,0,0,2,1,5,Low-Value
142,73,3,789.89,49,39,2,3,3,"(29.0, 167.0]",3,"233(29.0, 167.0]3",0,2,2,0,2,0,0,0,0,2,Low-Value
143,7,1,204.0,0,1,5,1,1,"(-0.001, 29.0]",1,"511(-0.001, 29.0]1",0,2,2,0,3,0,0,0,0,3,Low-Value
144,16,28,7277.7,279,313,4,5,5,"(277.0, 373.0]",5,"455(277.0, 373.0]5",1,3,1,0,3,2,0,2,2,9,High-Value
145,4,9,2616.38,354,101,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,1,0,3,1,8,High-Value
146,64,2,689.9,65,36,3,2,3,"(29.0, 167.0]",3,"323(29.0, 167.0]3",0,2,2,0,2,0,0,1,0,3,Low-Value
147,1,5,975.36,274,32,5,4,4,"(167.0, 277.0]",3,"544(167.0, 277.0]3",1,3,1,0,3,0,0,2,0,5,Low-Value
148,114,6,6912.0,240,6,2,5,5,"(167.0, 277.0]",1,"255(167.0, 277.0]1",3,1,3,0,2,1,0,2,0,5,Low-Value
149,23,2,661.3199999999999,22,40,4,2,3,"(-0.001, 29.0]",3,"423(-0.001, 29.0]3",0,2,2,0,3,0,0,0,0,3,Low-Value
150,31,3,1247.5,322,8,4,3,4,"(277.0, 373.0]",1,"434(277.0, 373.0]1",1,3,1,0,3,0,0,3,0,6,Mid-Value
151,11,2,799.48,356,76,5,2,3,"(277.0, 373.0]",4,"523(277.0, 373.0]4",1,3,1,0,3,0,0,3,1,7,Mid-Value
152,52,2,1010.18,34,55,3,2,4,"(29.0, 167.0]",4,"324(29.0, 167.0]4",0,2,2,0,2,0,0,0,0,2,Low-Value
153,357,1,190.55,0,11,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
154,55,2,642.77,314,37,3,2,3,"(277.0, 373.0]",3,"323(277.0, 373.0]3",1,3,1,0,2,0,0,3,0,5,Low-Value
155,74,2,921.88,186,23,2,2,4,"(167.0, 277.0]",2,"224(167.0, 277.0]2",3,1,3,0,2,0,0,2,0,4,Low-Value
156,138,3,881.07,118,44,2,3,3,"(29.0, 167.0]",3,"233(29.0, 167.0]3",3,1,3,0,1,0,0,1,0,2,Low-Value
157,80,3,908.46,210,24,2,3,4,"(167.0, 277.0]",2,"234(167.0, 277.0]2",3,1,3,0,2,0,0,2,0,4,Low-Value
158,9,2,676.99,24,38,5,2,3,"(-0.001, 29.0]",3,"523(-0.001, 29.0]3",0,2,2,0,3,0,0,0,0,3,Low-Value
159,273,1,516.42,0,13,1,1,3,"(-0.001, 29.0]",2,"113(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
160,291,1,560.47,0,33,1,1,3,"(-0.001, 29.0]",3,"113(-0.001, 29.0]3",2,0,0,0,0,0,0,0,0,0,Low-Value
161,99,1,305.28000000000003,0,18,2,1,2,"(-0.001, 29.0]",2,"212(-0.001, 29.0]2",0,2,2,0,2,0,0,0,0,2,Low-Value
162,31,2,629.31,235,33,4,2,3,"(167.0, 277.0]",3,"423(167.0, 277.0]3",3,1,1,0,3,0,0,2,0,5,Low-Value
163,32,10,3237.54,342,106,4,5,5,"(277.0, 373.0]",5,"455(277.0, 373.0]5",1,3,1,0,3,1,0,3,1,8,High-Value
164,14,4,1835.91,312,77,4,4,4,"(277.0, 373.0]",4,"444(277.0, 373.0]4",1,3,1,0,3,0,0,3,1,7,Mid-Value
165,64,2,656.6800000000001,253,14,3,2,3,"(167.0, 277.0]",2,"323(167.0, 277.0]2",3,1,1,0,2,0,0,2,0,4,Low-Value
166,15,17,5836.86,351,246,4,5,5,"(277.0, 373.0]",5,"455(277.0, 373.0]5",1,3,1,0,3,1,0,3,2,9,High-Value
167,212,1,348.15000000000003,0,18,1,1,2,"(-0.001, 29.0]",2,"112(-0.001, 29.0]2",2,0,0,0,1,0,0,0,0,1,Low-Value
168,78,3,1214.41,135,74,2,3,4,"(29.0, 167.0]",4,"234(29.0, 167.0]4",3,1,3,0,2,0,0,1,1,4,Low-Value
169,25,3,271.40000000000003,127,5,4,3,2,"(29.0, 167.0]",1,"432(29.0, 167.0]1",3,1,3,0,3,0,0,1,0,4,Low-Value
170,250,1,183.4,0,8,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,0,0,0,0,0,0,Low-Value
171,254,1,307.53,0,15,1,1,2,"(-0.001, 29.0]",2,"112(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
172,72,1,248.61,0,10,2,1,2,"(-0.001, 29.0]",1,"212(-0.001, 29.0]1",0,2,2,0,2,0,0,0,0,2,Low-Value
173,191,1,346.98,0,11,1,1,2,"(-0.001, 29.0]",1,"112(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
174,13,4,1119.49,314,51,5,4,4,"(277.0, 373.0]",4,"544(277.0, 373.0]4",1,3,1,0,3,0,0,3,0,6,Mid-Value
175,373,1,205.86,0,14,1,1,1,"(-0.001, 29.0]",2,"111(-0.001, 29.0]2",2,0,0,0,0,0,0,0,0,0,Low-Value
176,24,2,470.8,7,48,4,2,3,"(-0.001, 29.0]",3,"423(-0.001, 29.0]3",0,2,2,0,3,0,0,0,0,3,Low-Value
177,82,1,115.46000000000001,0,14,2,1,1,"(-0.001, 29.0]",2,"211(-0.001, 29.0]2",0,2,2,0,2,0,0,0,0,2,Low-Value
178,10,2,344.0,309,1,5,2,2,"(277.0, 373.0]",1,"522(277.0, 373.0]1",1,3,1,0,3,0,0,3,0,6,Mid-Value
179,1,24,4436.12,368,281,5,5,5,"(277.0, 373.0]",5,"555(277.0, 373.0]5",1,3,1,0,3,2,0,3,2,10,High-Value
180,192,1,228.8,0,9,1,1,1,"(-0.001, 29.0]",1,"111(-0.001, 29.0]1",2,0,0,0,1,0,0,0,0,1,Low-Value
